Date,ARIMA,SARIMA,Prophet
2024-12-30,91877.00218880856,92605.60825767416,86217.68621560112
2024-12-31,91571.62111618182,92685.56529726247,86070.06010576684
2025-01-01,92197.47520429295,92651.39744793744,85262.64578357499
2025-01-02,92579.82001290249,92702.90351306916,84887.18315558624
2025-01-03,92053.70302004501,92719.87550615639,84298.0627289288
2025-01-04,91532.23354735422,92752.98862108948,83814.9091714253
2025-01-05,91903.22782099326,92823.20809269144,83419.41826733972
2025-01-06,92514.240347619,92801.84706065085,82509.00938770329
2025-01-07,92316.92008890337,92883.01198505862,82221.04094690633
2025-01-08,91664.96161118454,92836.46400242788,81300.55022228506
2025-01-09,91680.9141496545,92880.68241075595,80851.61576828748
2025-01-10,92323.59358297694,92902.26930806658,80226.6432967684
2025-01-11,92482.68459295835,92928.15350377143,79750.49340275161
2025-01-12,91896.66985998434,92995.58381655336,79406.84107480418
2025-01-13,91581.59196527356,92973.29551589167,78589.83266495456
2025-01-14,92069.71942656135,93055.32101582584,78446.74235890678
2025-01-15,92510.91708438739,93007.95518558103,77712.82568123072
2025-01-16,92152.91898492874,93053.06645354029,77500.41622006624
2025-01-17,91623.60998899519,93073.77077006784,77155.56696751322
2025-01-18,91830.24222816981,93100.5474513338,77003.79805533377
2025-01-19,92404.67443693556,93167.12360009317,77026.05971605539
2025-01-20,92358.51492211729,93145.7035769932,76608.47821272728
2025-01-21,91783.5259159481,93226.86112887332,76903.53977062131
2025-01-22,91672.41131381861,93180.36300867476,76632.14456586694
2025-01-23,92205.190594734,93224.60635508609,76910.52324036646
2025-01-24,92458.82141909198,93246.17847904951,77074.31619634351
2025-01-25,92006.11367991802,93272.08738992887,77446.01921572925
2025-01-26,91634.70916545318,93339.53108791544,78000.62155543559
2025-01-27,91977.00018287692,93317.24353655653,78113.50485695133
2025-01-28,92433.70304802684,93399.2685405937,78940.2095494156
